,BusinessYear,StateCode,Age,IndividualRate
602926,2014,FL,41,27.18
646082,2014,FL,34,16.92
689005,2014,FL,54,19.05
701292,2014,FL,27,211.0
345001,2014,FL,40,286.47
454749,2014,FL,60,667.63
499847,2014,FL,32,23.81
137259,2014,AZ,33,248.69
717152,2014,FL,25,390.15
99213,2014,AZ,39,337.86
638297,2014,FL,52,25.74
633099,2014,FL,29,34.39
603468,2014,FL,31,27.18
657591,2014,FL,39,10.76
789942,2014,FL,29,30.11
983756,2014,IN,27,231.65
661746,2014,FL,46,21.58
395724,2014,FL,45,313.0
423481,2014,FL,31,24.61
454991,2014,FL,26,247.28
39637,2014,AL,51,360.89
525635,2014,FL,60,653.42
1039647,2014,IN,35,290.53
308221,2014,FL,50,464.66
181840,2014,AZ,39,297.19
95653,2014,AZ,33,45.17
674639,2014,FL,40,12.1
657049,2014,FL,44,35.45
560644,2014,FL,22,20.72
260537,2014,FL,39,365.85
361117,2014,FL,48,348.1
868636,2014,GA,49,37.55
784941,2014,FL,42,10.99
929117,2014,GA,36,21.78
411389,2014,FL,37,24.61
765023,2014,FL,42,21.99
986678,2014,IN,58,0.0
871191,2014,GA,39,12.55
345755,2014,FL,49,430.34
670504,2014,FL,55,9.06
110353,2014,AZ,59,605.97
545982,2014,FL,34,24.31
54881,2014,AL,63,1042.44
246475,2014,FL,0-20,33.4
146580,2014,AZ,56,585.15
794692,2014,FL,41,48.94
270118,2014,FL,33,493.74
452775,2014,FL,64,832.5
934798,2014,GA,27,261.0
830532,2014,FL,63,26.95
525891,2014,FL,40,369.97
736304,2014,FL,37,11.01
144279,2014,AZ,45,412.41
827105,2014,FL,40,33.97
261441,2014,FL,29,319.59
436137,2014,FL,46,445.5
939855,2014,GA,27,213.0
835427,2014,GA,36,31.84
865688,2014,GA,29,24.47
969960,2014,IN,22,275.18
1008949,2014,IN,49,25.2
734450,2014,FL,50,15.35
656865,2014,FL,44,18.11
346646,2014,FL,34,268.91
910006,2014,GA,26,13.92
210617,2014,AZ,27,305.68
991794,2014,IN,61,0.0
496270,2014,FL,43,328.5
847148,2014,GA,21,236.57
867894,2014,GA,46,14.76
742902,2014,FL,46,15.35
757391,2014,FL,46,397.38
281992,2014,FL,45,330.28
969278,2014,IN,38,492.54
104165,2014,AZ,63,731.0
820545,2014,FL,58,33.15
949678,2014,IN,60,22.89
987253,2014,IN,24,38.05
682647,2014,FL,44,24.32
957979,2014,IN,54,655.49
945748,2014,GA,61,647.53
309781,2014,FL,48,457.42
890071,2014,GA,25,1025.0
32120,2014,AL,32,338.0
40258,2014,AL,37,301.31
349433,2014,FL,48,393.45
727787,2014,FL,58,439.6
140242,2014,AZ,43,246.47
89199,2014,AZ,26,1026.0
775198,2014,FL,51,14.99
618068,2014,FL,57,24.5
98260,2014,AZ,64,44.3
968521,2014,IN,38,275.1
391376,2014,FL,43,422.67
157303,2014,AZ,61,31.01
553593,2014,FL,38,20.97
308817,2014,FL,26,281.81
491035,2014,FL,52,591.87
980901,2014,IN,45,20.92
141436,2014,AZ,64,0.0
813020,2014,FL,31,26.74
46689,2014,AL,39,309.35
8174,2014,AK,41,556.29
585088,2014,FL,35,17.15
901111,2014,GA,41,23.03
506219,2014,FL,56,36.12
710801,2014,FL,43,392.38
915869,2014,GA,26,24.43
164044,2014,AZ,30,140.0
163432,2014,AZ,62,471.0
881867,2014,GA,62,28.49
742350,2014,FL,52,11.01
1000264,2014,IN,62,99.99
611688,2014,FL,41,13.45
701495,2014,FL,22,207.11
645902,2014,FL,36,17.26
252382,2014,FL,34,383.53
574948,2014,FL,31,15.55
409131,2014,FL,31,0.0
909812,2014,GA,33,14.04
30575,2014,AL,42,21.0
114495,2014,AZ,59,629.67
598311,2014,FL,26,32.85
1041185,2014,IN,32,424.76
269075,2014,FL,21,291.34
145638,2014,AZ,41,297.54
420598,2014,FL,38,0.0
797176,2014,FL,41,29.92
125921,2014,AZ,50,438.28
66863,2014,AL,22,237.14
617454,2014,FL,26,34.39
36149,2014,AL,43,395.73
527180,2014,FL,41,354.37
559679,2014,FL,59,31.22
192792,2014,AZ,33,329.51
21727,2014,AL,21,8.34
935622,2014,GA,54,551.0
507382,2014,FL,23,16.14
850330,2014,GA,59,884.97
984564,2014,IN,53,451.28
118084,2014,AZ,41,269.97
806678,2014,FL,21,30.35
618916,2014,FL,21,16.92
570351,2014,FL,32,31.13
1018189,2014,IN,45,434.35
193846,2014,AZ,21,220.05
732398,2014,FL,58,15.35
498515,2014,FL,34,183.88
804039,2014,FL,50,24.06
373180,2014,FL,53,441.7
163178,2014,AZ,38,219.0
406400,2014,FL,50,550.66
349737,2014,FL,62,773.77
760814,2014,FL,65 and over,14.99
632464,2014,FL,33,17.26
925792,2014,GA,23,21.78
663870,2014,FL,50,9.06
666932,2014,FL,63,20.14
488280,2014,FL,57,511.08
801556,2014,FL,51,30.35
955743,2014,IN,59,750.16
429984,2014,FL,62,33.47
621320,2014,FL,27,24.5
206152,2014,AZ,61,727.49
567662,2014,FL,46,20.52
955809,2014,IN,25,273.11
671644,2014,FL,27,18.34
1031130,2014,IN,65 and over,988.55
927429,2014,GA,50,27.23
481043,2014,FL,42,357.0
933755,2014,GA,49,461.0
893481,2014,GA,48,22.03
808839,2014,FL,0-20,29.92
60827,2014,AL,31,311.52
523745,2014,FL,61,43.0
471636,2014,FL,65 and over,686.58
950248,2014,IN,26,279.88
789501,2014,FL,48,24.25
162489,2014,AZ,59,999999.0
577133,2014,FL,54,21.35
680614,2014,FL,35,19.46
53472,2014,AL,33,346.69
565409,2014,FL,55,22.28
607764,2014,FL,49,22.88
126793,2014,AZ,38,268.38
887185,2014,GA,46,1046.0
798757,2014,FL,58,48.94
178161,2014,AZ,39,300.71
651298,2014,FL,0-20,24.5
708655,2014,FL,28,313.31
771245,2014,FL,54,10.99
357728,2014,FL,55,463.39
944635,2014,GA,51,409.0
44625,2014,AL,57,344.82
109517,2014,AZ,29,304.28
350644,2014,FL,55,528.11
532461,2014,FL,44,24.81
486893,2014,FL,50,394.07
820875,2014,FL,0-20,33.15
739158,2014,FL,54,11.01
1002051,2014,IN,57,941.45
313661,2014,FL,56,575.07
797652,2014,FL,57,48.94
563944,2014,FL,38,16.76
1015995,2014,IN,54,27.88
757620,2014,FL,45,490.92
849416,2014,GA,61,551.38
51615,2014,AL,28,368.8
478363,2014,FL,30,302.97
707661,2014,FL,59,917.21
76964,2014,AL,58,23.08
178257,2014,AZ,58,618.22
964847,2014,IN,59,32.11
1017783,2014,IN,58,27.88
991896,2014,IN,25,18.75
150490,2014,AZ,56,445.94
494289,2014,FL,40,286.85
466963,2014,FL,38,281.06
868319,2014,GA,29,9.86
449627,2014,FL,27,314.26
394396,2014,FL,35,258.96
1017174,2014,IN,56,1019.17
747266,2014,FL,61,832.22
39182,2014,AL,52,451.57
590564,2014,FL,26,15.51
103444,2014,AZ,57,696.06
818954,2014,FL,31,54.95
12569,2014,AL,0-20,27.46
526771,2014,FL,46,432.57
493233,2014,FL,42,286.19
861678,2014,GA,21,272.73
802391,2014,FL,58,24.25
988735,2014,IN,29,30.48
161112,2014,AZ,52,389.24
483137,2014,FL,0-20,153.54
626759,2014,FL,33,38.94
414376,2014,FL,43,24.61
218626,2014,AZ,38,436.0
737842,2014,FL,54,11.01
772855,2014,FL,54,17.99
875314,2014,GA,30,20.51
582600,2014,FL,43,21.66
290051,2014,FL,27,231.78
8420,2014,AK,44,564.72
550631,2014,FL,44,24.31
671622,2014,FL,62,18.1
105225,2014,AZ,45,294.04
887403,2014,GA,48,1048.0
848559,2014,GA,27,311.62
411151,2014,FL,54,33.47
29952,2014,AL,45,479.82
323291,2014,FL,41,359.45
474352,2014,FL,21,210.17
225074,2014,AZ,65 and over,27.8
291063,2014,FL,27,308.48
42745,2014,AL,28,180.69
468277,2014,FL,64,644.69
494530,2014,FL,51,392.27
147559,2014,AZ,23,221.97
482762,2014,FL,59,622.85
821897,2014,FL,30,54.95
559135,2014,FL,42,24.37
868411,2014,GA,29,19.19
697554,2014,FL,47,367.88
984163,2014,IN,0-20,146.57
765261,2014,FL,50,21.99
726445,2014,FL,50,563.33
745685,2014,FL,0-20,154.24
263955,2014,FL,28,292.41
588868,2014,FL,55,22.6
670413,2014,FL,56,10.76
1041886,2014,IN,64,772.82
552708,2014,FL,45,26.11
93241,2014,AZ,59,526.41
109492,2014,AZ,24,173.88
591292,2014,FL,34,15.64
616020,2014,FL,45,9.06
418216,2014,FL,63,33.47
686325,2014,FL,42,19.46
800913,2014,FL,52,24.25
871757,2014,GA,46,19.86
484353,2014,FL,40,330.01
247545,2014,FL,32,15.5
20836,2014,AL,50,15.58
973093,2014,IN,36,221.94
13552,2014,AL,34,99.0
394373,2014,FL,24,211.92
584004,2014,FL,48,18.73
782178,2014,FL,39,15.99
565256,2014,FL,25,13.64
960344,2014,IN,21,218.68
503799,2014,FL,28,23.81
950468,2014,IN,23,263.26
847535,2014,GA,52,307.81
331398,2014,FL,46,341.84
98402,2014,AZ,22,35.46
928786,2014,GA,27,44.87
457092,2014,FL,57,595.31
336022,2014,FL,58,603.01
847772,2014,GA,54,571.45
906730,2014,GA,61,29.33
730008,2014,FL,25,279.78
191936,2014,AZ,49,367.28
1001035,2014,IN,22,438.18
736188,2014,FL,25,15.77
320997,2014,FL,44,304.72
985528,2014,IN,35,0.0
557187,2014,FL,21,23.01
824515,2014,FL,26,33.97
363289,2014,FL,30,292.02
747790,2014,FL,59,42.66
624036,2014,FL,51,10.76
712025,2014,FL,58,651.38
561597,2014,FL,29,15.15
336110,2014,FL,56,519.86
95654,2014,AZ,34,45.17
293588,2014,FL,47,447.54
990651,2014,IN,22,38.05
366162,2014,FL,40,387.75
185408,2014,AZ,62,565.84
178929,2014,AZ,55,486.12
872948,2014,GA,43,10.66
944292,2014,GA,57,528.0
39756,2014,AL,28,190.62
601848,2014,FL,21,27.18
975589,2014,IN,48,428.37
18599,2014,AL,21,9.9
335232,2014,FL,31,317.62
222907,2014,AZ,62,1146.51
894948,2014,GA,43,22.03
1009808,2014,IN,25,427.67
283504,2014,FL,65 and over,846.98
927473,2014,GA,48,21.95
107991,2014,AZ,46,369.47
635655,2014,FL,65 and over,18.41
397413,2014,FL,32,228.0
68029,2014,AL,38,377.47
368785,2014,FL,64,993.51
733940,2014,FL,29,15.77
947361,2014,GA,64,363.78
545278,2014,FL,31,20.55
1028413,2014,IN,23,211.3
839438,2014,GA,45,32.5
631263,2014,FL,31,34.39
792366,2014,FL,61,30.35
898875,2014,GA,60,36.96
414318,2014,FL,35,33.47
391541,2014,FL,34,373.52
855237,2014,GA,29,405.38
654131,2014,FL,57,9.06
756215,2014,FL,0-20,29.35
565025,2014,FL,24,27.84
882355,2014,GA,44,9.37
418749,2014,FL,37,24.61
404678,2014,FL,33,283.96
185640,2014,AZ,63,548.78
823911,2014,FL,0-20,32.88
303885,2014,FL,44,419.82
781157,2014,FL,30,15.99
958885,2014,IN,33,343.14
194214,2014,AZ,21,245.52
695762,2014,FL,49,23.12
898015,2014,GA,28,36.96
168229,2014,AZ,29,290.06
43198,2014,AL,27,205.24
969093,2014,IN,51,687.1
252675,2014,FL,60,745.55
950041,2014,IN,37,20.19
300966,2014,FL,56,815.69
441155,2014,FL,52,527.21
772178,2014,FL,21,15.99
1004162,2014,IN,41,534.79
637769,2014,FL,64,34.39
533297,2014,FL,27,26.75
340151,2014,FL,53,380.94
964998,2014,IN,41,312.41
513348,2014,FL,60,9999.0
1012842,2014,IN,36,388.69
396893,2014,FL,64,670.0
375471,2014,FL,49,492.82
991837,2014,IN,58,11.57
767039,2014,FL,34,15.99
845447,2014,GA,49,577.26
464257,2014,FL,46,333.05
577679,2014,FL,25,15.64
521313,2014,FL,41,31.0
1032736,2014,IN,24,302.73
333153,2014,FL,50,415.78
591879,2014,FL,59,22.79
892707,2014,GA,40,1040.0
138387,2014,AZ,39,306.22
928720,2014,GA,53,27.01
347318,2014,FL,48,419.88
407032,2014,FL,45,24.61
620772,2014,FL,29,9.06
238776,2014,FL,49,99.0
375617,2014,FL,30,375.53
215980,2014,AZ,34,270.49
958286,2014,IN,61,659.65
472601,2014,FL,64,735.5
538677,2014,FL,45,28.06
796974,2014,FL,23,29.68
429515,2014,FL,49,0.0
856715,2014,GA,26,222.65
59182,2014,AL,34,488.77
784678,2014,FL,55,10.99
778596,2014,FL,45,21.99
315704,2014,FL,65 and over,864.37
625764,2014,FL,41,9.06
541146,2014,FL,33,22.63
635325,2014,FL,38,11.43
150276,2014,AZ,26,237.77
798023,2014,FL,60,48.94
25773,2014,AL,65 and over,15.9
1039801,2014,IN,52,419.92
795904,2014,FL,57,29.68
910603,2014,GA,53,18.69
590255,2014,FL,56,25.53
448479,2014,FL,38,364.86
579411,2014,FL,50,21.66
247019,2014,FL,58,17.2
254832,2014,FL,27,294.04
713510,2014,FL,33,231.89
552973,2014,FL,52,23.51
350908,2014,FL,49,398.89
687408,2014,FL,21,31.93
906127,2014,GA,32,17.81
424963,2014,FL,32,0.0
684734,2014,FL,61,10.21
518817,2014,FL,35,36.0
850456,2014,GA,39,284.06
281345,2014,FL,44,344.76
744661,2014,FL,46,333.85
424905,2014,FL,25,33.47
1001672,2014,IN,25,21.04
576689,2014,FL,57,22.28
610778,2014,FL,46,18.41
509256,2014,FL,57,27.71
786344,2014,FL,65 and over,29.68
636847,2014,FL,63,34.39
869035,2014,GA,65 and over,28.79
983529,2014,IN,30,320.36
144143,2014,AZ,64,844.65
560996,2014,FL,47,23.51
577411,2014,FL,64,27.08
385157,2014,FL,62,637.13
668286,2014,FL,50,11.19
329287,2014,FL,49,519.56
970812,2014,IN,37,260.3
867411,2014,GA,35,19.97
811146,2014,FL,43,32.88
532353,2014,FL,22,28.08
255656,2014,FL,55,718.07
926968,2014,GA,49,44.87
919571,2014,GA,48,26.35
953511,2014,IN,25,22.89
511428,2014,FL,21,19.12
770334,2014,FL,63,15.99
432875,2014,FL,52,547.83
888022,2014,GA,65 and over,1065.0
171627,2014,AZ,23,0.0
914198,2014,GA,36,15.58
454569,2014,FL,64,740.47
1024431,2014,IN,31,28.42
543405,2014,FL,24,25.72
372734,2014,FL,60,719.13
359422,2014,FL,28,315.3
1021895,2014,IN,59,1000.51
512891,2014,FL,62,821.71
573030,2014,FL,61,36.55
783420,2014,FL,39,15.99
600008,2014,FL,21,32.85
26274,2014,AL,60,22.88
405780,2014,FL,33,435.89
566458,2014,FL,35,16.62
1021219,2014,IN,53,767.29
982317,2014,IN,60,852.82
17501,2014,AL,27,15.58
913582,2014,GA,51,19.24
621304,2014,FL,65 and over,16.92
812211,2014,FL,50,33.7
116037,2014,AZ,45,392.66
956034,2014,IN,23,201.74
950541,2014,IN,36,323.81
525736,2014,FL,23,271.0
385227,2014,FL,51,494.16
1016651,2014,IN,59,1137.66
965121,2014,IN,0-20,196.09
649573,2014,FL,32,28.78
783398,2014,FL,63,10.99
1025974,2014,IN,61,28.7
563369,2014,FL,61,24.74
900052,2014,GA,23,99.0
569495,2014,FL,44,14.96
858620,2014,GA,45,310.92
459574,2014,FL,55,533.43
682276,2014,FL,41,19.46
987273,2014,IN,34,38.05
776931,2014,FL,36,21.99
654444,2014,FL,29,30.05
491161,2014,FL,40,360.27
498373,2014,FL,30,290.97
434720,2014,FL,27,253.17
417615,2014,FL,34,33.47
120924,2014,AZ,57,521.98
259622,2014,FL,48,516.26
715453,2014,FL,54,739.1
240750,2014,FL,45,99.99
513496,2014,FL,42,9999.0
640287,2014,FL,35,11.43
662323,2014,FL,59,17.26
480523,2014,FL,28,370.71
381303,2014,FL,21,294.93
108476,2014,AZ,51,450.14
510064,2014,FL,37,19.68
368570,2014,FL,48,415.06
353775,2014,FL,57,489.6
153596,2014,AZ,34,298.89
180019,2014,AZ,43,377.92
865412,2014,GA,29,22.19
927292,2014,GA,51,21.78
492196,2014,FL,63,988.5
543893,2014,FL,30,22.82
108765,2014,AZ,63,930.35
760335,2014,FL,46,383.97
442971,2014,FL,24,298.61
614815,2014,FL,41,38.94
42557,2014,AL,37,254.11
135726,2014,AZ,64,783.36
406887,2014,FL,27,0.0
1040473,2014,IN,40,317.27
461160,2014,FL,31,212.0
195498,2014,AZ,0-20,113.23
909943,2014,GA,59,22.53
567057,2014,FL,63,24.96
216868,2014,AZ,26,264.67
427518,2014,FL,29,24.61
680106,2014,FL,33,11.41
374505,2014,FL,26,307.21
216876,2014,AZ,28,280.96
113271,2014,AZ,44,392.05
17919,2014,AL,31,16.89
668193,2014,FL,50,42.2
185119,2014,AZ,51,372.53
221986,2014,AZ,62,1285.84
915296,2014,GA,51,32.79
158989,2014,AZ,32,321.3
671106,2014,FL,34,21.26
844165,2014,GA,34,267.01
87122,2014,AL,35,38.18
532698,2014,FL,45,30.63
723037,2014,FL,46,352.06
70898,2014,AL,65 and over,903.6
177816,2014,AZ,62,744.14
774953,2014,FL,36,14.99
318519,2014,FL,47,413.59
337020,2014,FL,51,483.71
316143,2014,FL,55,505.24
608828,2014,FL,55,22.88
237484,2014,FL,45,99.0
279500,2014,FL,51,609.18
538175,2014,FL,36,24.39
716734,2014,FL,34,419.52
675302,2014,FL,59,28.58
597937,2014,FL,0-20,27.18
252100,2014,FL,54,695.45
103554,2014,AZ,33,310.8
514936,2014,FL,26,9999.0
704403,2014,FL,52,587.02
339846,2014,FL,38,233.46
815317,2014,FL,28,33.97
410255,2014,FL,34,33.47
398177,2014,FL,60,417.0
836372,2014,GA,61,32.1
727575,2014,FL,30,253.07
873696,2014,GA,49,8.84
911439,2014,GA,36,15.4
695180,2014,FL,65 and over,28.32
426949,2014,FL,50,0.0
553668,2014,FL,53,26.11
535614,2014,FL,30,23.21
675711,2014,FL,54,12.1
890647,2014,GA,31,1031.0
177250,2014,AZ,41,206.13
249723,2014,FL,22,341.2
540196,2014,FL,27,30.62
66233,2014,AL,49,445.65
442419,2014,FL,54,777.8
596066,2014,FL,35,21.41
625463,2014,FL,29,18.41
103205,2014,AZ,55,628.7
653863,2014,FL,61,10.76
830342,2014,FL,57,26.74
68089,2014,AL,53,673.0
513240,2014,FL,52,9999.0
710753,2014,FL,34,354.58
917757,2014,GA,28,29.77
348712,2014,FL,55,508.51
471793,2014,FL,38,317.49
126640,2014,AZ,46,313.62
604436,2014,FL,33,27.18
372770,2014,FL,32,295.6
132312,2014,AZ,38,228.04
782991,2014,FL,24,15.99
597796,2014,FL,63,32.17
382717,2014,FL,38,249.82
276582,2014,FL,36,261.79
277311,2014,FL,63,1098.37
886858,2014,GA,39,20.18
986842,2014,IN,48,0.0
128156,2014,AZ,57,590.05
376903,2014,FL,29,355.47
895493,2014,GA,36,24.55
298949,2014,FL,60,727.88
309310,2014,FL,42,259.25
14095,2014,AL,25,99.0
535679,2014,FL,43,34.26
966030,2014,IN,45,361.61
984810,2014,IN,23,253.94
188835,2014,AZ,58,596.0
107133,2014,AZ,59,689.84
408322,2014,FL,22,0.0
362214,2014,FL,44,406.51
964530,2014,IN,49,548.26
620446,2014,FL,50,37.8
532090,2014,FL,61,33.55
600057,2014,FL,24,32.85
590508,2014,FL,61,25.75
467200,2014,FL,45,335.85
488855,2014,FL,34,340.68
172905,2014,AZ,46,295.14
505262,2014,FL,65 and over,23.73
236139,2014,FL,34,99.0
415268,2014,FL,62,33.47
623274,2014,FL,38,19.56
681817,2014,FL,42,24.32
219491,2014,AZ,56,672.1
543101,2014,FL,56,37.26
752291,2014,FL,52,30.24
704892,2014,FL,57,735.21
949819,2014,IN,42,337.76
513467,2014,FL,28,275.84
1024242,2014,IN,62,902.41
545537,2014,FL,37,22.53
664097,2014,FL,26,20.14
525479,2014,FL,42,280.11
301947,2014,FL,41,477.19
737499,2014,FL,23,15.77
511476,2014,FL,23,17.32
963785,2014,IN,50,610.04
334024,2014,FL,25,242.9
557521,2014,FL,42,24.31
149986,2014,AZ,58,578.12
412686,2014,FL,61,33.47
724270,2014,FL,37,335.82
505873,2014,FL,32,22.73
168193,2014,AZ,39,309.78
973622,2014,IN,62,22.89
431873,2014,FL,33,353.53
271022,2014,FL,32,280.84
673552,2014,FL,57,28.58
831909,2014,FL,60,33.97
555549,2014,FL,61,31.22
294379,2014,FL,29,434.06
282621,2014,FL,38,308.99
690576,2014,FL,61,19.46
573813,2014,FL,34,15.55
135298,2014,AZ,49,462.96
518970,2014,FL,65 and over,953.64
904908,2014,GA,64,29.08
955375,2014,IN,40,251.59
148337,2014,AZ,65 and over,727.6
1008060,2014,IN,24,213.08
443223,2014,FL,52,582.88
366383,2014,FL,59,884.24
805639,2014,FL,40,29.92
110805,2014,AZ,57,593.02
44802,2014,AL,50,273.04
806362,2014,FL,27,29.92
26637,2014,AL,55,29.42
441564,2014,FL,51,510.44
344346,2014,FL,34,243.58
457818,2014,FL,47,426.18
670208,2014,FL,45,21.15
964565,2014,IN,56,749.76
156966,2014,AZ,46,30.56
223249,2014,AZ,49,680.8
100450,2014,AZ,56,643.0
1029848,2014,IN,54,689.43
384772,2014,FL,53,421.7
628975,2014,FL,37,27.78
959303,2014,IN,62,912.12
958107,2014,IN,32,277.71
747740,2014,FL,55,42.66
171637,2014,AZ,33,0.0
831776,2014,FL,65 and over,32.88
521229,2014,FL,45,26.0
499817,2014,FL,48,322.34
212079,2014,AZ,25,296.68
205963,2014,AZ,60,706.21
5952,2014,AK,56,1303.17
80573,2014,AL,26,23.07
832497,2014,FL,50,32.88
31857,2014,AL,41,385.49
258157,2014,FL,53,669.5
92552,2014,AZ,60,34.34
267994,2014,FL,51,596.92
337559,2014,FL,45,293.11
999174,2014,IN,30,99.99
977877,2014,IN,51,20.19
84034,2014,AL,55,24.08
664715,2014,FL,59,15.8
832632,2014,FL,47,33.97
716069,2014,FL,39,447.16
346438,2014,FL,22,250.26
468394,2014,FL,43,326.17
889524,2014,GA,26,1026.0
456921,2014,FL,24,245.65
463677,2014,FL,64,638.14
40936,2014,AL,34,212.89
707478,2014,FL,23,359.5
664838,2014,FL,28,18.34
748661,2014,FL,56,42.66
776173,2014,FL,60,21.99
900526,2014,GA,32,21.0
801683,2014,FL,40,48.94
331429,2014,FL,62,726.89
601017,2014,FL,64,32.85
143098,2014,AZ,39,432.21
948437,2014,GA,36,220.42
371066,2014,FL,54,531.65
476358,2014,FL,49,504.56
110848,2014,AZ,0-20,150.79
226176,2014,AZ,64,42.09
1048246,2014,IN,60,744.78
553768,2014,FL,27,19.45
569989,2014,FL,51,18.47
1034502,2014,IN,38,430.12
615932,2014,FL,47,17.26
502417,2014,FL,26,28.01
287531,2014,FL,55,567.38
394945,2014,FL,48,285.0
443021,2014,FL,29,364.62
287184,2014,FL,65 and over,768.25
927874,2014,GA,35,44.51
828962,2014,FL,57,33.97
18677,2014,AL,53,10.3
246248,2014,FL,23,16.2
104373,2014,AZ,59,768.83
23096,2014,AL,56,15.58
505282,2014,FL,39,23.73
987930,2014,IN,40,20.48
712822,2014,FL,33,264.45
11937,2014,AL,46,999999.0
373122,2014,FL,24,262.12
685843,2014,FL,0-20,27.05
606172,2014,FL,21,27.6
481340,2014,FL,63,780.79
719872,2014,FL,63,1037.25
32140,2014,AL,35,21.0
256209,2014,FL,60,531.82
581371,2014,FL,28,21.66
1028062,2014,IN,42,28.99
346443,2014,FL,25,251.26
85241,2014,AL,60,19.42
320854,2014,FL,64,677.23
563290,2014,FL,45,31.13
923186,2014,GA,52,686.24
537984,2014,FL,44,25.03
649089,2014,FL,0-20,35.45
536476,2014,FL,65 and over,36.63
492765,2014,FL,34,226.55
443997,2014,FL,46,408.01
54834,2014,AL,51,696.76
254229,2014,FL,64,643.78
902153,2014,GA,65 and over,34.0
565938,2014,FL,23,28.33
33323,2014,AL,30,295.95
557968,2014,FL,39,18.88
669654,2014,FL,44,20.01
897677,2014,GA,58,36.96
520706,2014,FL,59,659.57
594674,2014,FL,23,32.85
476085,2014,FL,52,496.56
963052,2014,IN,57,679.09
551913,2014,FL,24,21.08
209115,2014,AZ,0-20,165.23
638428,2014,FL,25,16.74
325707,2014,FL,53,443.68
377053,2014,FL,58,756.06
125837,2014,AZ,29,260.1
830394,2014,FL,63,54.95
431866,2014,FL,32,289.52
574516,2014,FL,37,19.15
354631,2014,FL,25,173.15
464199,2014,FL,34,337.53
946933,2014,GA,50,434.26
355924,2014,FL,27,268.57
548501,2014,FL,32,19.45
522119,2014,FL,30,371.13
461336,2014,FL,23,199.17
280815,2014,FL,45,404.6
800882,2014,FL,21,24.25
884075,2014,GA,62,28.86
1043994,2014,IN,29,275.98
6155,2014,AK,51,1180.1
313157,2014,FL,34,283.29
933594,2014,GA,63,812.0
517873,2014,FL,23,9999.0
428495,2014,FL,60,24.61
530798,2014,FL,Family Option,24.22
972549,2014,IN,44,291.22
700657,2014,FL,38,254.67
450207,2014,FL,26,244.05
79503,2014,AL,43,23.26
785026,2014,FL,35,15.99
886001,2014,GA,56,28.49
939186,2014,GA,31,217.0
864525,2014,GA,62,40.93
744871,2014,FL,42,305.0
838171,2014,GA,0-20,32.1
350016,2014,FL,63,732.15
338900,2014,FL,25,226.21
382555,2014,FL,49,497.63
565375,2014,FL,48,18.31
589938,2014,FL,39,19.76
403128,2014,FL,60,797.4
580868,2014,FL,65 and over,22.6
421267,2014,FL,30,0.0
965518,2014,IN,44,444.61
473645,2014,FL,50,464.2
165812,2014,AZ,35,485.5
267584,2014,FL,56,687.86
149820,2014,AZ,30,257.52
842063,2014,GA,48,390.6
613343,2014,FL,41,32.68
357944,2014,FL,25,214.61
368909,2014,FL,34,319.77
98641,2014,AZ,49,0.0
224003,2014,AZ,35,17.63
910637,2014,GA,60,22.73
367381,2014,FL,52,482.13
432170,2014,FL,0-20,189.47
19410,2014,AL,50,22.88
620371,2014,FL,59,38.94
643276,2014,FL,57,34.39
889706,2014,GA,26,1026.0
546098,2014,FL,57,31.22
403135,2014,FL,62,827.56
8775,2014,AK,23,404.24
94778,2014,AZ,32,42.53
989050,2014,IN,48,30.48
667818,2014,FL,46,28.66
694107,2014,FL,50,27.17
315176,2014,FL,31,256.91
759007,2014,FL,52,581.14
99771,2014,AZ,58,816.18
137262,2014,AZ,34,243.06
491197,2014,FL,30,336.82
905733,2014,GA,45,23.7
214805,2014,AZ,62,720.12
386445,2014,FL,62,968.5
691453,2014,FL,64,12.1
887479,2014,GA,21,1021.0
247466,2014,FL,45,16.0
179969,2014,AZ,33,333.64
5799,2014,AK,26,638.94
904474,2014,GA,23,21.38
889400,2014,GA,41,1041.0
980815,2014,IN,30,412.98
415975,2014,FL,59,0.0
1035035,2014,IN,54,574.66
121948,2014,AZ,32,317.66
171415,2014,AZ,41,0.0
742653,2014,FL,62,21.99
1041173,2014,IN,31,448.84
53489,2014,AL,37,328.99
291961,2014,FL,62,910.74
656569,2014,FL,34,30.57
702951,2014,FL,37,248.81
206228,2014,AZ,34,293.52
667935,2014,FL,59,24.85
137851,2014,AZ,43,370.18
596899,2014,FL,40,21.41
689009,2014,FL,58,19.05
1006218,2014,IN,21,320.9
993864,2014,IN,61,18.75
912211,2014,GA,53,19.41
1017885,2014,IN,65 and over,1255.51
232984,2014,FL,64,99.0
746614,2014,FL,22,340.95
279475,2014,FL,49,483.61
949513,2014,IN,33,352.45
343265,2014,FL,46,319.9
315863,2014,FL,53,577.85
782529,2014,FL,22,15.99
933643,2014,GA,26,282.0
120613,2014,AZ,41,168.59
1030612,2014,IN,52,661.17
467310,2014,FL,63,728.01
817303,2014,FL,36,54.51
59325,2014,AL,24,417.49
204773,2014,AZ,38,228.4
848358,2014,GA,33,295.07
811758,2014,FL,57,26.95
526389,2014,FL,32,364.43
307985,2014,FL,24,248.62
464004,2014,FL,23,195.29
850371,2014,GA,22,297.2
765509,2014,FL,22,21.99
18935,2014,AL,35,15.58
233320,2014,FL,48,99.0
